V,ret,grad
0.1,4.611,0.041
0.2,4.615,0.007
0.3,4.612,-0.008
0.4,4.613,-0.027
0.5,4.607,-0.047
0.6,4.604,-0.026
0.7,4.602,-0.085
0.8,4.587,-0.117
0.9,4.578,-0.15
1.0,4.557,-0.283
1.1,4.521,-0.553
1.2,4.446,-1.069
1.3,4.308,-1.561
1.4,4.134,-1.892
1.5,3.929,-2.032
1.6,3.727,-1.993
1.7,3.531,-1.855
1.8,3.357,-1.946
1.9,3.142,-2.11
2.0,2.935,-1.735
2.1,2.795,-1.368
2.2,2.661,-1.386
2.3,2.518,-1.314
2.4,2.398,-1.123
2.5,2.293,-1.049
2.6,2.188,-0.984
2.7,2.096,-0.893
2.8,2.01,-0.807
2.9,1.935,-0.688
3.0,1.872,-0.611
3.1,1.813,-0.577
3.2,1.757,-0.532
3.3,1.706,-0.46
3.4,1.665,-0.428
3.5,1.621,-0.405
3.6,1.583,-0.366
3.7,1.547,-0.368
3.8,1.51,-0.344
3.9,1.479,-0.268
4.0,1.456,-0.234
4.1,1.432,-0.232
4.2,1.41,-0.222
4.3,1.387,-0.234
4.4,1.363,-0.242
4.5,1.339,-0.221
4.6,1.319,-0.195
4.7,1.3,-0.172
4.8,1.284,-0.178
4.9,1.264,-0.145
5.0,1.255,-0.133
5.1,1.238,-0.17
5.2,1.221,-0.151
5.3,1.207,-0.148
5.4,1.192,-0.129
5.5,1.182,-0.13
5.6,1.166,-0.125
5.7,1.157,-0.096
5.8,1.146,-0.093
5.9,1.138,-0.094
6.0,1.128,-0.093
6.1,1.12,-0.102
6.2,1.107,-0.094
6.3,1.101,-0.086
6.4,1.09,-0.091
6.5,1.083,-0.08
6.6,1.074,-0.093
6.7,1.064,-0.076
6.8,1.059,-0.054
6.9,1.053,-0.055
7.0,1.048,-0.065
7.1,1.04,-0.071
7.2,1.034,-0.084
7.3,1.023,-0.071
7.4,1.019,-0.052
7.5,1.013,-0.054
7.6,1.009,-0.05
7.7,1.003,-0.055
7.8,0.998,-0.062
7.9,0.99,-0.05
8.0,0.988,-0.028
8.1,0.985,-0.043
8.2,0.979,-0.07
8.3,0.971,-0.027
8.4,0.974,-0.032
8.5,0.965,-0.069
8.6,0.96,-0.048
8.7,0.955,-0.059
8.8,0.948,-0.026
8.9,0.95,-0.02
9.0,0.944,-0.057
9.1,0.938,-0.051
9.2,0.934,-0.058
9.3,0.927,-0.043
9.4,0.925,-0.035
9.5,0.92,-0.016
9.6,0.922,-0.013
9.7,0.917,-0.029
9.8,0.916,-0.032
9.9,0.911,-0.036
10.0,0.909,-0.018
